1 0.21052 0.78478 0.2584
2 1.91387 0.69262 0.1139
3 1.83420 0.49257 0.0930
4 2.10683 0.69786 0.3126
5 3.49083 0.78508 0.2486
6 3.12436 0.65318 0.2505
7 3.19824 0.78773 0.1507
8 6.11418 0.41389 0.2599
9 8.00329 0.23131 0.2532
10 8.97972 0.35646 0.2568
11 8.59685 0.85724 0.1903
12 5.72274 0.60096 0.2270
13 6.00129 0.50202 0.2942
14 7.89382 0.04589 0.1926
15 9.12410 0.58899 0.2598
16 9.20061 0.15761 0.2250
17 9.41912 0.08800 0.2204
18 9.82501 0.69981 0.2808
19 10.13943 0.81901 0.1945
20 10.63094 0.85020 0.1513
21 11.60084 0.00238 0.1138
22 16.86173 0.14713 0.2515
23 16.23071 0.06009 0.2767
24 15.30832 0.57439 0.2008
25 16.97587 0.51512 0.2780
26 13.25096 0.94755 0.1681
27 15.84752 0.31946 0.2391
28 13.40886 0.92088 0.2862
29 11.66080 1.15270 0.1045
30 15.67950 1.13633 0.1433
31 16.54324 0.85569 0.2615
32 16.50577 0.36052 0.2512
33 16.71052 1.06971 0.2514
34 16.49489 1.12979 0.2011
35 22.06306 0.26899 0.2858
36 29.34849 0.41779 0.1364
37 29.09469 0.41039 0.2701
38 23.92095 1.05229 0.2913
39 28.33821 0.64035 0.1308
40 17.34617 0.90817 0.2657
41 22.37055 0.15385 0.2860
42 27.07792 0.16587 0.2045
43 23.22807 0.97601 0.1284
44 28.17485 1.00709 0.2327
45 23.73139 0.38795 0.1547
46 28.64952 0.44488 0.2288
47 28.30583 0.86866 0.1317
48 17.66571 1.06672 0.1770
49 5.06714 0.07945 0.2108
50 20.36508 0.02192 0.2321
51 5.20391 0.18222 0.2145
52 16.48359 0.71462 0.2530
53 0.50762 0.34701 0.3010
54 0.82315 0.93771 0.1901
55 2.04027 1.00598 0.3313
56 3.72088 0.12175 0.4397
57 3.84517 0.15608 0.4417
58 4.06653 0.87082 0.2531
59 4.97136 0.75841 0.3580
60 4.99091 0.49366 0.4421
61 4.56406 0.77448 0.3285
62 6.56552 1.22118 0.2922
63 7.22392 0.77098 0.3868
64 6.16145 0.03024 0.3752
65 5.91924 0.02497 0.4215
66 6.31156 0.09038 0.3563
67 9.02234 0.15824 0.2550
68 7.47707 1.08420 0.3760
69 6.40314 0.78364 0.2211
70 9.89844 0.27198 0.4869
71 9.84173 0.80542 0.4148
72 10.70773 0.21535 0.2697
73 9.92730 0.76163 0.4152
74 10.71962 0.71844 0.2697
75 10.95832 0.78836 0.4758
76 12.96075 0.31607 0.4279
77 14.42709 0.75309 0.4194
78 15.84210 0.74315 0.2004
