  11223    154.93280    5.21902    20.57   0.5841   0.0000   -21.81   1   1
  12102    155.11641    4.99278    20.46   0.6727   0.0002   -22.69   1   1
  21655    154.28069    4.89467    17.21   0.1067   0.0000   -20.53   1   1
  50161    155.88026    5.51277    17.36   0.1559   0.0001   -21.36   1   1
 160417    155.08505    4.05335    16.88   0.0720   0.0000   -19.97   1   1
 160420    155.80980    4.08499    20.40   0.5812   0.0002   -22.65   1   1
 191081    154.94722    5.22373    20.44   0.6232   0.0002   -22.90   1   1
 195412    155.94743    5.88043    17.19   0.0841   0.0000   -20.00   1   1
 242178    154.29381    4.23327    17.60   0.0709   0.0000   -19.21   0   1
 242186    155.12961    4.19657    19.88   0.5983   0.0001   -22.90   1   1
 242275    154.81546    4.56885    16.04   0.0739   0.0000   -20.90   1   1
 249973    155.73892    4.02575    16.71   0.1829   0.0000   -22.46   1   1
 261755    155.37093    4.47604    15.77   0.1549   0.0000   -23.04   1   1
 267604    155.47954    4.30735    18.50   0.1957   0.0000   -20.88   1   1
 336311    154.94092    5.89837    17.55   0.0692   0.0000   -19.83   0   1
 393104    154.49576    5.30628    16.16   0.0427   0.0000   -19.48   0   1
 451015    154.91147    5.75961    17.22   0.1089   0.0000   -20.56   1   1
 451017    155.23235    5.74413    17.41   0.1091   0.0000   -20.36   1   1
 600140    154.46236    4.45063    20.30   0.6016   0.0001   -22.24   1   1
 601663    155.77083    4.81099    16.03   0.0864   0.0000   -21.29   1   1
 605855    154.42749    5.04548    21.12   0.3816   0.0001   -21.10   0   1
 697866    155.88014    4.66842    18.67   0.2820   0.0001   -21.82   1   1
 818479    154.28554    4.00932    20.89   0.5425   0.0002   -21.76   1   1
 865120    155.95566    4.42960    19.57   0.6714   0.0003   -23.70   0   1
 865506    155.83319    4.91552    20.68   0.6313   0.0001   -21.97   0   1
 872698    155.85942    5.10747    20.03   0.2666   0.0000   -20.80   0   1
 881335    155.43752    4.39242    20.62   0.6785   0.0002   -22.42   0   1
 896419    154.59607    4.16566    16.64   0.0464   0.0000   -19.22   1   1
 975004    154.31776    4.76190    16.92   0.0623   0.0000   -19.58   1   1
1033850    154.66978    4.05383    20.35   0.6099   0.0002   -22.47   1   1
1161800    154.49431    4.05789    15.91   0.1160   0.0000   -22.16   1   1
1235948    154.72755    5.37894    17.66   0.1004   0.0000   -19.89   1   1
1330925    155.33092    5.39131    17.54   0.1569   0.0000   -21.24   1   1
1340772    155.03587    5.47281    17.71   0.1080   0.0000   -20.08   1   1
  60796    154.13605    4.30885    20.40   0.3871   0.0899   -20.62   0   0
  60797    154.13277    4.44816    20.34   0.4541   0.0289   -21.67   1   0
  60798    154.13437    4.44063    22.38   0.7740   0.1374   -22.00   0   0
  60799    154.13318    4.50090    21.45   0.4663   0.0366   -20.71   0   0
  60803    154.13371    4.05213    21.00   0.3860   0.0569   -20.17   0   0
  60804    154.13321    4.06811    21.02   0.4027   0.0797   -19.93   0   0
  61575    154.00240    4.30366    19.42   0.2607   0.0226   -20.75   0   0
  61642    154.05154    4.06080    18.72   0.1245   0.0246   -19.39   0   0
  61643    154.01323    4.02645    19.67   0.2903   0.0569   -20.44   0   0
  61644    154.03380    4.01641    20.21   0.3337   0.0902   -20.11   0   0
  61645    154.03499    4.06166    20.58   0.3221   0.0363   -19.75   0   0
  61646    154.04805    4.06993    19.80   0.2534   0.0402   -20.12   0   0
  61647    154.06145    4.06808    20.57   0.3131   0.0624   -19.52   0   0
  61648    154.06648    4.02220    20.95   0.5012   0.1186   -21.28   0   0
  61649    154.08195    4.07114    20.06   0.3454   0.0586   -20.80   1   0
  61650    154.02130    4.03815    22.26   0.5598   0.1122   -20.27   0   0
  61651    154.06120    4.02533    22.34   0.5508   0.0792   -20.50   0   0
  61652    154.10597    4.02561    18.15   0.1364   0.0250   -20.24   0   0
  61653    154.09326    4.04426    18.57   0.1728   0.0188   -20.49   1   0
  61664    154.09650    4.00826    21.19   0.4097   0.0256   -20.53   1   0
