                 0  154.87724    5.01138  0.1000   1.02  11
                 1  154.85828    4.60885  0.4722   3.40  36
                 2  154.93828    4.70424  0.3000   4.12  47
                 3  154.59227    4.72814  0.2353   9.10  81
                 4  154.83978    4.85435  0.5188   3.78  42
                 5  154.88380    5.27229  0.4913   4.57  45
                 6  154.83255    5.28181  0.5760   6.26  45
                 7  154.84306    5.41869  0.3426   5.26  47
                 8  154.62828    5.36658  0.3094   8.33  67
                 9  154.62987    5.36642  0.2955   6.55  67
                10  154.52866    5.23266  0.2710   4.65  47
                11  154.75893    5.37068  0.5333   6.47  65
                12  154.75224    5.26983  0.5485   3.91  48
                13  154.57767    4.96988  0.2081   5.54  62
                14  154.83823    5.16121  0.5454   3.41  38
                15  154.87407    5.11776  0.5212   4.56  43
                16  154.65106    5.49363  0.5473   5.61  55
                17  154.52469    5.42550  0.5420   7.69  61
                18  154.93028    5.46397  0.2955   5.66  61
                19  154.98900    5.21766  0.2843   3.04  42
                20  154.59431    5.27903  0.5574   6.15  60
                21  154.75583    5.05784  0.5424   4.06  39
                22  154.98871    5.05410  0.4799   3.61  37
                23  154.53427    5.44904  0.5809   8.72  60
                24  154.88232    5.25370  0.4667   3.20  43
                25  154.91721    4.50065  0.5874   3.34  37
                26  154.80081    4.83196  0.5405   3.60  37
                27  154.82999    4.83983  0.5373   4.05  37
                28  154.75070    4.89910  0.4348   3.14  33
                29  154.75043    4.80821  0.3893   4.38  45
                30  154.70116    5.20258  0.5357   7.59  55
                31  154.64938    4.87524  0.4404   5.20  48
                32  154.58549    4.88698  0.2814   5.77  58
                33  154.82166    4.80076  0.6348   5.31  40
                34  154.79456    4.83112  0.5722   4.17  42
                35  154.53766    4.63494  0.1556   4.16  50
                36  154.77390    4.73672  0.6361   5.21  39
                37  154.83080    4.58792  0.5752   4.67  49
                38  154.65131    4.71148  0.2720   3.37  46
                39  154.61943    5.13432  0.2081   4.54  45
                40  154.78940    5.07404  0.4401   4.16  46
                41  154.79175    4.98093  0.5396   4.25  40
                42  154.72482    5.15649  0.2427   5.79  64
                43  154.86757    4.69625  0.2091   4.42  57
                44  154.94888    4.57934  0.6430   8.32  49
                45  154.90927    4.69363  0.3427   4.15  44
                46  154.80946    5.10751  0.4041   3.82  43
                47  155.08813    4.85540  0.3913   3.28  36
                48  155.42477    4.92371  0.5388   7.08  59
                49  155.16229    4.50551  0.2092   6.43  63
                50  155.29019    4.86171  0.5421   9.14  64
                51  155.07584    4.92892  0.5211   3.43  36
                52  155.29181    4.86058  0.5219   5.48  56
                53  155.03844    4.85670  0.5382   4.17  39
                54  155.01289    5.20411  0.1084   1.08  20
                55  155.11945    4.50696  0.3980   3.75  39
                56  155.23761    4.97074  0.5414   5.72  60
                57  155.12111    4.50521  0.3206   3.49  43
                58  155.39011    5.04961  0.5967   4.13  44
                59  155.09470    4.61516  0.1611   6.58  69
                60  155.23955    4.75018  0.5412   6.05  50
                61  155.16940    5.02105  0.4374   3.67  46
                62  155.40874    5.05398  0.4363   3.24  40
                63  155.11182    5.16288  0.1649   4.95  48
                64  155.30771    5.08591  0.2552   3.55  48
                65  155.48859    5.18268  0.3723   3.22  38
                66  155.06302    5.15294  0.2762   3.85  36
                67  155.16316    5.01359  0.6034   3.12  40
                68  155.39632    5.18045  0.5243   3.49  32
                69  155.35292    4.65142  0.5394   5.62  51
                70  155.34904    4.73745  0.3690   4.61  38
                71  155.23524    5.00581  0.1744   3.53  45
                72  155.15816    5.19058  0.1644   5.25  52
                73  155.14838    5.45435  0.1093   2.16  27
                74  155.10872    5.36796  0.5506   6.74  51
                75  155.14058    5.44137  0.6214   6.69  56
                76  155.30345    5.45887  0.1944   7.03  67
                77  155.16261    5.28986  0.5362   5.50  42
                78  155.16476    5.32167  0.5988   3.98  40
                79  155.34827    5.37874  0.5445   3.86  41
                80  155.47026    5.46376  0.4505   2.97  34
                81  155.17944    5.14478  0.2763   3.94  47
                82  155.18057    5.16745  0.5406   4.40  39
                83  155.24905    5.01700  0.5760   5.31  57
                84  155.15508    5.49269  0.1553   4.04  50
                85  155.47710    4.67811  0.3830   5.24  49
                86  155.16908    5.47745  0.5275   4.04  44
                87  155.01682    4.67788  0.2086   6.48  65
                88  155.38116    5.31690  0.1562   5.12  54
                89  155.04066    4.52105  0.1552   4.64  59
                90  155.43546    4.87642  0.1744   3.28  42
                91  155.31792    5.10616  0.3601   3.21  30
                92  155.20670    5.18172  0.5389   3.70  38
                93  155.31398    4.52588  0.2088   6.53  68
                94  154.59122    4.85087  0.2080   7.58  71
                95  155.18703    4.63157  0.3112   4.61  49
                96  155.34177    4.68459  0.5374   5.12  48
                97  154.65363    5.17986  0.7493   5.53  27
                98  155.11917    4.73915  0.2327   5.29  54
                99  155.03114    5.23656  0.5903   5.93  49
               100  155.15866    5.45102  0.6426   7.70  52
               101  154.68257    5.32304  0.4945   6.98  56
               102  155.23480    5.45104  0.1560   3.92  49
